date,real_close,pred_linreg,pred_rf,pred_svr,pred_xgb
2026-03-27,273.76,288.46,284.36,280.84,284.33
2026-03-30,273.14,279.0,278.15,273.86,275.59
2026-03-31,286.86,272.7,274.36,273.04,273.04
2026-04-01,294.9,272.18,283.22,286.76,283.22
2026-04-02,294.46,288.3,290.59,294.8,290.15
2026-04-06,297.66,295.93,294.41,294.36,292.41
2026-04-07,303.93,294.01,294.95,297.56,296.26
2026-04-08,314.74,296.71,301.05,303.83,301.34
2026-04-09,316.37,304.24,311.13,314.64,308.96
2026-04-10,315.72,316.49,316.77,316.47,316.71
2026-04-13,,317.04,316.6,315.62,315.08
