date,real_close,pred_linreg,pred_rf,pred_svr,pred_xgb,weight_linreg,weight_rf,weight_svr,weight_xgb,fair_value,sentiment_score
2026-04-06,297.66,295.93,294.76,294.36,292.41,0.15,0.4,0.15,0.3,294.17,0.1008
2026-04-07,303.93,294.01,295.08,297.56,296.26,0.15,0.4,0.15,0.3,295.65,0.2442
2026-04-08,314.74,296.71,300.47,303.83,301.34,0.15,0.4,0.15,0.3,300.67,0.1938
2026-04-09,316.37,304.24,311.49,314.64,308.89,0.2123,0.2422,0.3062,0.2394,310.32,0.0183
2026-04-10,315.72,316.49,316.63,316.47,316.71,0.183,0.2476,0.343,0.2264,316.57,0.025
2026-04-13,319.21,317.04,316.5,315.62,315.08,0.1849,0.2475,0.3414,0.2263,316.01,0.0207
2026-04-14,330.58,315.51,318.63,319.11,317.5,0.1951,0.2529,0.3276,0.2243,317.89,0.1987
2026-04-15,334.47,319.6,326.13,330.48,321.81,0.1997,0.2571,0.3134,0.2298,325.2,0.1987
2026-04-16,332.77,332.89,332.85,334.57,330.97,0.189,0.2575,0.3352,0.2183,333.02,0.2187
2026-04-17,339.4,336.09,333.56,332.82,333.82,0.1926,0.2625,0.3281,0.2168,333.86,0.2187
2026-04-20,,333.32,337.23,339.3,336.44,0.2033,0.2616,0.3146,0.2205,336.91,0.0042
